Tenant_ID,Age,Occupation,Income_Level,Credit_Score,Past_Default,Debt_to_Income_Ratio,Monthly_Rent,Lease_Term_Months,Security_Deposit,Property_Type,Property_Size_SqFt,Unemployment_Rate,GDP_Growth_Rate,Default_Risk
43,35,Part-time,105677,628,0,0.29,4776,12,9552,Commercial,4023,9.23,3.6,0
44,21,Freelancer,122320,382,0,0.42,3202,6,3202,Residential,2059,3.77,2.99,1
45,42,Full-time,22837,321,0,0.39,3665,12,3665,Residential,900,4.89,4.19,1
46,31,Self-employed,145261,431,1,0.17,759,36,759,Residential,4710,7.78,1.23,1
47,26,Full-time,140688,764,0,0.19,3678,12,3678,Commercial,4946,3.53,2.82,0
48,43,Self-employed,134616,755,0,0.33,2791,6,2791,Commercial,3831,6.18,1.06,0
49,19,Part-time,125338,601,0,0.22,4930,36,9860,Residential,3365,5.33,1.88,0
50,37,Full-time,60077,566,0,0.27,1546,6,1546,Residential,1749,8.87,4.1,1
51,45,Unemployed,99915,694,0,0.29,4866,12,4866,Residential,1113,3.34,1.42,0
52,64,Part-time,24239,419,0,0.34,4557,6,4557,Commercial,4726,9.04,1.42,1
53,24,Self-employed,130432,545,0,0.2,3711,36,7422,Residential,2454,7.93,2.61,1
54,61,Part-time,106348,337,0,0.17,1907,36,1907,Residential,4776,5.08,4.11,1
55,25,Full-time,49669,544,0,0.26,1900,6,3800,Commercial,848,4.38,3.55,1
56,64,Freelancer,68624,320,0,0.13,1509,12,3018,Residential,3018,9.65,4.13,1
57,52,Freelancer,95147,409,1,0.31,3906,12,7812,Residential,660,6.88,1.2,1
58,31,Self-employed,24150,693,0,0.44,4102,12,4102,Commercial,613,5.41,3.25,1
59,34,Self-employed,144210,709,0,0.15,4727,12,9454,Commercial,1985,3.31,2.81,0
60,53,Freelancer,31109,307,1,0.15,3315,24,6630,Residential,2128,4.16,4.58,1
61,57,Self-employed,119750,743,1,0.13,2244,24,4488,Commercial,4738,7.19,3.95,1
62,21,Part-time,46016,627,1,0.44,3048,6,3048,Residential,4183,6.59,2.7,1
63,19,Unemployed,31936,589,0,0.13,2045,24,4090,Residential,2998,8.3,3.22,1
64,23,Unemployed,31036,810,0,0.49,634,24,634,Residential,2495,8.84,2.7,1
65,59,Part-time,59236,660,0,0.24,3359,24,6718,Residential,2609,5.78,2.76,0
66,21,Unemployed,34021,518,0,0.23,3978,6,7956,Commercial,1095,3.71,3.54,1
67,46,Full-time,140478,705,0,0.14,2641,24,2641,Commercial,1439,8.54,1.87,0
68,35,Part-time,56943,519,0,0.33,1764,12,3528,Commercial,1799,6.88,2.33,1
69,43,Self-employed,133694,406,0,0.33,2272,12,4544,Residential,4250,9.86,2.12,1
70,61,Part-time,123384,585,0,0.3,664,6,1328,Residential,1652,8.57,4.2,1
71,51,Freelancer,101007,307,0,0.22,4920,6,4920,Residential,4959,5.3,4.77,1
72,27,Self-employed,133197,488,0,0.25,3487,6,3487,Commercial,2594,6.0,2.66,1
73,53,Freelancer,70016,380,0,0.23,1119,36,1119,Residential,3516,4.65,1.31,1
74,31,Self-employed,43244,407,0,0.27,730,24,1460,Residential,1897,6.58,1.37,1
75,48,Unemployed,83027,620,0,0.24,3280,6,6560,Residential,3369,7.98,2.6,0
76,32,Part-time,134313,645,0,0.37,3651,6,7302,Commercial,1660,7.29,2.58,0
77,25,Full-time,143351,627,0,0.22,1877,6,1877,Residential,1295,5.39,1.58,0
78,31,Self-employed,58985,601,0,0.24,2391,12,2391,Residential,4630,8.76,4.23,0
79,40,Self-employed,123976,499,1,0.27,4252,6,4252,Commercial,3417,3.74,3.0,1
80,57,Freelancer,21502,718,0,0.1,4472,12,8944,Commercial,3039,4.0,1.44,0
81,38,Unemployed,73836,338,0,0.3,3732,12,3732,Residential,4853,5.83,1.39,1
82,33,Freelancer,119714,606,0,0.2,902,36,902,Residential,2934,7.92,2.78,0
83,62,Freelancer,23770,303,0,0.12,3274,6,6548,Commercial,4865,7.86,1.47,1
84,35,Unemployed,62865,376,0,0.46,4980,36,4980,Commercial,2500,5.57,3.24,1
85,64,Full-time,73811,767,0,0.23,3107,6,6214,Commercial,3618,7.88,2.54,0
86,41,Freelancer,24001,478,1,0.27,1690,24,3380,Residential,3241,3.42,4.68,1
87,43,Freelancer,80848,575,0,0.43,888,6,888,Commercial,1453,5.03,2.68,1
88,42,Self-employed,72635,451,0,0.17,3904,6,3904,Residential,2225,7.86,3.46,1
89,62,Unemployed,40946,463,1,0.44,2273,6,4546,Commercial,2010,4.29,4.25,1
90,58,Part-time,86134,589,0,0.2,1289,6,1289,Residential,2086,4.49,2.21,1
91,46,Full-time,115852,677,0,0.34,1994,6,3988,Residential,2241,3.61,3.05,0
92,32,Full-time,111103,609,0,0.37,3251,6,3251,Commercial,2958,5.55,1.48,0
93,62,Unemployed,112044,688,1,0.46,2047,36,2047,Commercial,3392,8.77,2.73,1
94,18,Self-employed,63744,482,1,0.34,1320,24,2640,Residential,2474,8.85,2.5,1
95,42,Self-employed,137729,605,1,0.28,4536,36,9072,Commercial,1892,9.04,2.71,1
96,24,Unemployed,142848,371,0,0.33,1979,24,1979,Residential,3837,3.26,1.43,1
97,26,Self-employed,59159,518,0,0.18,2869,36,2869,Residential,3332,9.95,2.59,1
98,41,Full-time,115812,472,0,0.38,4565,36,9130,Commercial,1289,6.52,4.48,1
99,18,Full-time,43671,571,0,0.17,3630,6,3630,Residential,799,9.11,4.75,1
100,61,Part-time,36450,767,1,0.32,1963,36,1963,Commercial,4350,9.34,1.97,1
101,25,Unemployed,34908,568,0,0.36,2407,24,2407,Residential,1821,6.6,2.2,1
102,41,Freelancer,77275,319,0,0.46,3565,12,7130,Residential,4969,3.36,1.04,1
103,28,Freelancer,64358,802,0,0.28,4145,24,4145,Commercial,2609,7.18,1.46,0
104,34,Part-time,69047,446,0,0.41,4528,36,4528,Residential,2885,5.34,2.38,1
105,25,Part-time,55518,728,0,0.17,4465,12,4465,Residential,3946,4.45,3.74,0
106,52,Self-employed,77813,464,0,0.16,1816,6,3632,Residential,4707,4.28,2.17,1
107,52,Part-time,116748,609,0,0.31,681,12,1362,Commercial,1118,6.91,1.3,0
108,50,Part-time,128220,817,0,0.34,3154,6,3154,Commercial,1382,3.73,3.92,0
109,22,Freelancer,26806,313,0,0.35,1460,24,2920,Residential,2203,8.75,2.87,1
110,59,Self-employed,124733,431,0,0.4,4700,12,9400,Residential,3295,4.59,3.08,1
111,56,Part-time,60891,738,1,0.22,3154,12,3154,Residential,2919,6.85,2.3,1
112,58,Part-time,146865,562,0,0.35,3794,12,3794,Commercial,4328,3.88,3.45,1
113,45,Self-employed,103551,524,1,0.18,1489,6,2978,Residential,1007,9.02,4.56,1
114,24,Unemployed,149335,557,0,0.19,2225,6,2225,Residential,2535,7.84,3.22,1
115,26,Self-employed,59220,533,0,0.13,1206,24,1206,Commercial,1917,4.45,3.35,1
116,25,Freelancer,37158,635,0,0.4,4615,24,4615,Commercial,3360,8.01,2.49,0
117,29,Unemployed,100992,708,0,0.3,4830,36,4830,Residential,4079,3.58,1.33,0
118,51,Full-time,47588,323,0,0.2,2120,6,4240,Commercial,2885,8.41,2.71,1
119,50,Self-employed,82576,570,0,0.32,3921,24,7842,Residential,1786,6.43,4.7,1
120,40,Freelancer,108027,394,0,0.24,4080,12,4080,Commercial,1425,3.84,3.72,1
121,41,Unemployed,44188,441,0,0.43,922,12,922,Commercial,728,6.85,2.96,1
122,54,Self-employed,112615,380,0,0.31,4515,12,9030,Commercial,2268,4.41,3.48,1
123,52,Part-time,78830,573,0,0.11,3696,24,3696,Commercial,2921,7.71,3.23,1
124,61,Self-employed,24019,575,0,0.49,2414,12,2414,Residential,3756,7.96,4.65,1
125,57,Full-time,32419,764,0,0.13,3101,12,3101,Residential,3652,8.33,1.9,0
126,39,Self-employed,53697,507,0,0.38,4510,6,9020,Commercial,1733,9.26,4.55,1
127,44,Unemployed,104932,595,0,0.27,4585,6,4585,Residential,3535,7.58,3.75,1
128,52,Unemployed,139712,338,1,0.2,3682,24,3682,Residential,3096,6.44,1.51,1
129,18,Self-employed,124568,587,0,0.37,4250,6,4250,Residential,1809,8.98,2.49,1
130,52,Unemployed,115428,423,1,0.15,2558,36,2558,Commercial,968,9.3,2.75,1
131,54,Part-time,27973,582,0,0.44,2145,24,2145,Commercial,2916,8.47,1.33,1
132,64,Self-employed,128001,479,0,0.2,3587,36,7174,Residential,4295,9.6,3.22,1
133,31,Part-time,106649,396,0,0.24,3292,36,3292,Residential,1353,9.86,2.04,1
134,20,Part-time,142649,490,0,0.35,3036,24,6072,Residential,1623,4.76,2.83,1
135,18,Freelancer,31136,373,0,0.1,3759,6,7518,Residential,2120,4.29,2.76,1
136,22,Self-employed,104739,746,0,0.29,3011,6,3011,Commercial,3531,6.14,3.09,0
137,43,Unemployed,82502,796,0,0.46,2590,24,2590,Residential,4474,9.98,4.38,1
138,31,Part-time,51285,783,0,0.37,1067,36,1067,Residential,3529,3.62,4.12,0
139,56,Freelancer,43039,415,0,0.26,620,24,620,Residential,1970,7.98,4.49,1
140,44,Self-employed,86720,834,0,0.36,815,24,815,Residential,2961,8.96,3.29,0
141,26,Self-employed,143168,397,0,0.47,1120,12,1120,Residential,592,9.98,3.46,1
142,32,Full-time,108263,627,0,0.18,4563,12,4563,Commercial,1776,7.34,2.72,0
143,32,Full-time,79155,706,0,0.31,953,36,953,Commercial,4221,5.66,3.87,0
144,43,Part-time,36911,612,1,0.19,3234,6,3234,Commercial,2156,4.17,1.82,1
145,59,Full-time,20916,447,0,0.44,3171,12,3171,Commercial,3610,9.87,2.9,1
146,30,Part-time,79052,641,0,0.39,1458,12,2916,Commercial,3929,9.47,3.86,0
147,49,Unemployed,89110,794,0,0.42,2508,36,2508,Residential,687,8.63,4.11,1
148,56,Part-time,121623,322,0,0.48,1262,24,1262,Commercial,2845,9.61,1.99,1
149,49,Full-time,37790,404,0,0.19,1860,12,1860,Commercial,1603,3.43,1.73,1
150,21,Unemployed,103161,521,0,0.12,4835,6,9670,Commercial,2726,7.42,2.15,1
151,47,Full-time,25206,314,1,0.22,2551,36,5102,Residential,1780,4.92,4.68,1
152,54,Part-time,141937,377,0,0.26,696,12,1392,Residential,4813,8.36,1.52,1
153,40,Freelancer,105053,621,0,0.35,760,36,760,Residential,4593,3.67,4.81,0
154,56,Self-employed,69950,540,0,0.42,4408,12,8816,Residential,2814,4.81,4.98,1
155,62,Full-time,136211,317,0,0.24,4689,12,4689,Commercial,1840,8.95,4.13,1
156,32,Part-time,76361,753,0,0.29,1780,36,1780,Commercial,1090,8.25,4.04,0
157,60,Unemployed,81451,742,0,0.41,635,6,1270,Commercial,1178,9.94,4.81,1
158,46,Full-time,57696,576,0,0.19,3045,6,3045,Residential,1115,7.51,2.16,1
159,53,Full-time,101641,723,0,0.19,3985,24,7970,Commercial,1349,5.12,1.52,0
160,30,Self-employed,121192,775,0,0.34,868,12,1736,Commercial,2507,6.84,4.29,0
161,49,Part-time,88226,326,0,0.27,4162,24,8324,Residential,4670,9.61,1.68,1
162,24,Freelancer,122395,813,0,0.48,3954,36,3954,Residential,3284,7.56,1.18,1
163,39,Unemployed,141970,763,0,0.24,1044,24,1044,Commercial,835,9.17,1.79,0
164,45,Part-time,144121,662,0,0.4,3923,36,3923,Commercial,1303,3.16,2.75,0
165,19,Unemployed,66728,682,0,0.33,2872,6,2872,Commercial,862,5.59,2.98,0
166,59,Full-time,75401,824,0,0.12,4983,36,9966,Commercial,2521,9.55,1.25,0
167,62,Self-employed,86226,681,0,0.13,4835,36,4835,Commercial,3069,3.28,2.77,0
168,23,Self-employed,45103,483,0,0.18,1597,24,3194,Commercial,3530,6.63,3.42,1
169,45,Freelancer,54263,493,0,0.16,2578,12,2578,Residential,2575,5.43,4.73,1
170,45,Self-employed,146705,761,0,0.23,3026,24,6052,Residential,3886,7.52,1.91,0
171,61,Full-time,96621,355,0,0.33,4663,6,9326,Commercial,1404,4.14,1.84,1
172,61,Freelancer,70044,529,0,0.34,4211,6,4211,Residential,4958,7.57,2.56,1
173,37,Part-time,77730,788,0,0.34,3553,6,7106,Commercial,2585,9.94,4.93,0
174,47,Self-employed,45825,327,0,0.15,2443,12,2443,Commercial,3211,4.9,2.34,1
175,28,Freelancer,96256,483,0,0.34,2219,24,2219,Residential,4204,6.23,1.18,1
176,45,Full-time,124177,724,0,0.26,790,36,1580,Residential,643,3.21,2.06,0
177,42,Unemployed,57271,674,0,0.46,4189,36,4189,Commercial,4149,6.04,3.23,1
178,56,Unemployed,97256,340,0,0.46,1474,12,2948,Residential,3768,5.84,2.65,1
179,50,Full-time,66732,783,0,0.41,914,6,914,Commercial,1569,6.95,4.1,1
180,18,Full-time,86433,559,1,0.38,1350,12,2700,Residential,2685,4.8,3.43,1
181,44,Unemployed,102630,740,0,0.15,4277,36,8554,Commercial,3037,5.3,3.24,0
182,30,Freelancer,121999,383,0,0.13,3228,6,3228,Residential,4936,7.27,2.29,1
183,58,Unemployed,120990,345,0,0.44,4460,12,4460,Commercial,801,9.36,3.21,1
184,20,Full-time,43572,739,0,0.27,1241,36,2482,Residential,2665,4.65,3.46,0
185,56,Self-employed,58546,818,0,0.28,1091,36,1091,Residential,2260,7.74,1.72,0
186,23,Part-time,142456,737,0,0.44,1249,12,2498,Residential,4746,6.67,3.94,1
187,25,Self-employed,35150,435,0,0.35,2719,36,2719,Commercial,3154,3.73,2.57,1
188,44,Self-employed,74165,482,0,0.17,1337,24,2674,Residential,1948,6.96,3.97,1
189,26,Full-time,83690,471,0,0.18,3630,24,3630,Residential,1131,7.96,1.71,1
190,54,Unemployed,73664,838,0,0.1,3981,6,7962,Commercial,861,7.19,3.63,0
191,50,Freelancer,102335,419,0,0.38,1033,24,1033,Commercial,4691,3.73,1.11,1
192,59,Self-employed,95199,580,0,0.29,4960,24,4960,Residential,4887,8.98,1.64,1
193,61,Unemployed,148511,607,0,0.48,4962,12,9924,Residential,2574,3.29,4.56,1
194,41,Freelancer,56948,576,0,0.39,2273,6,4546,Residential,4900,4.65,2.85,1
195,32,Self-employed,57030,829,0,0.14,2843,12,5686,Residential,3270,7.31,3.03,0
196,49,Freelancer,47007,594,0,0.16,3153,12,6306,Commercial,3417,4.53,4.63,1
197,49,Unemployed,120819,352,0,0.3,3070,24,6140,Residential,1268,3.71,2.94,1
198,41,Part-time,111207,731,1,0.47,764,24,1528,Commercial,1485,6.58,3.62,1
199,58,Unemployed,110921,351,0,0.2,4095,36,4095,Commercial,704,8.06,1.89,1
200,29,Full-time,96772,371,0,0.43,2534,36,2534,Residential,1366,5.88,1.33,1
201,56,Freelancer,42024,327,0,0.22,3702,6,7404,Commercial,3125,7.89,2.41,1
202,19,Part-time,132408,768,0,0.21,881,24,881,Residential,1161,9.02,4.19,0
203,20,Freelancer,59384,846,0,0.46,3796,36,7592,Commercial,1178,9.71,2.79,1
204,54,Freelancer,102912,700,0,0.12,1666,12,1666,Commercial,799,4.63,1.67,0
205,34,Self-employed,144161,500,0,0.36,2978,24,5956,Commercial,757,7.24,3.18,1
206,19,Full-time,122674,765,0,0.12,888,6,1776,Residential,3262,4.87,2.06,0
207,19,Freelancer,38157,678,0,0.42,2571,6,2571,Commercial,739,9.1,4.79,1
208,45,Unemployed,105481,476,0,0.43,894,12,1788,Commercial,3800,9.23,3.31,1
209,40,Unemployed,122120,351,0,0.46,4157,36,4157,Commercial,4045,5.26,4.93,1
210,54,Self-employed,108553,378,0,0.17,3756,12,3756,Commercial,2765,7.52,1.17,1
211,49,Full-time,21756,684,0,0.15,4519,36,4519,Commercial,3012,9.21,1.05,0
212,50,Full-time,120677,307,0,0.3,2739,24,2739,Commercial,4790,6.56,2.91,1
213,18,Unemployed,88112,513,1,0.21,3359,6,3359,Residential,4951,8.04,4.45,1
214,36,Part-time,111003,324,0,0.34,2893,36,2893,Commercial,4903,8.61,3.1,1
215,19,Self-employed,122488,749,0,0.31,2550,12,2550,Commercial,908,9.1,4.5,0
216,61,Self-employed,116741,756,0,0.16,3621,24,3621,Residential,1020,6.61,1.52,0
217,43,Unemployed,78051,760,0,0.4,1424,36,1424,Commercial,3032,9.59,3.8,0
218,49,Unemployed,120701,497,0,0.42,4075,24,4075,Commercial,4384,7.4,3.64,1
219,23,Part-time,84595,393,0,0.49,3782,24,7564,Residential,2376,4.06,3.18,1
220,49,Part-time,98210,736,0,0.26,4251,12,4251,Residential,3241,7.29,2.62,0
221,21,Full-time,63094,826,0,0.24,3854,12,3854,Commercial,4032,5.09,3.59,0
222,28,Self-employed,128850,677,0,0.18,4974,24,9948,Commercial,1150,5.6,3.2,0
223,34,Self-employed,107889,403,0,0.17,3897,24,7794,Commercial,3344,8.66,2.09,1
224,55,Unemployed,115385,338,0,0.23,4268,36,8536,Commercial,2658,9.81,1.42,1
225,41,Full-time,24535,757,1,0.49,4720,12,9440,Residential,3151,9.09,2.55,1
226,22,Self-employed,76035,663,0,0.14,3481,36,3481,Commercial,2767,5.28,3.05,0
227,51,Full-time,142815,434,1,0.2,3972,6,3972,Residential,1528,6.18,3.03,1
228,23,Full-time,67367,673,0,0.13,3117,36,3117,Commercial,2055,9.88,2.7,0
229,39,Unemployed,127472,531,0,0.21,3999,24,7998,Residential,1012,9.46,2.31,1
230,28,Full-time,37118,338,0,0.14,4092,6,8184,Commercial,1735,9.84,2.4,1
231,33,Part-time,79812,346,0,0.3,931,36,931,Residential,618,6.03,2.06,1
232,50,Part-time,79884,335,0,0.28,1612,6,3224,Residential,4980,8.6,3.32,1
233,26,Freelancer,86168,394,0,0.17,2553,12,2553,Residential,759,9.1,4.4,1
234,23,Unemployed,33280,660,0,0.17,4753,36,9506,Residential,1698,3.31,4.52,0
235,33,Freelancer,34746,824,0,0.35,4818,36,9636,Residential,2649,4.86,4.97,0
236,46,Part-time,122572,445,0,0.25,2949,12,2949,Commercial,2932,9.18,1.36,1
237,20,Freelancer,73251,667,0,0.12,1044,36,1044,Commercial,1459,5.72,1.86,0
238,37,Unemployed,104821,364,0,0.47,3658,6,3658,Commercial,3448,4.95,3.92,1
239,53,Unemployed,103583,527,0,0.26,3128,12,6256,Residential,1065,4.91,3.58,1
240,36,Full-time,133625,819,0,0.34,3951,6,7902,Residential,4602,5.63,1.54,0
241,43,Self-employed,30207,480,0,0.45,1037,36,1037,Commercial,2879,4.71,3.52,1
242,20,Full-time,91127,800,0,0.26,1936,36,1936,Residential,3950,3.02,2.63,0
243,36,Unemployed,47757,454,0,0.43,3315,36,3315,Residential,944,4.21,4.83,1
244,37,Part-time,36226,834,0,0.47,4265,36,8530,Residential,4039,9.18,4.42,1
245,49,Part-time,115268,734,0,0.17,3562,6,7124,Residential,3208,3.53,1.29,0
246,24,Full-time,81407,398,1,0.46,759,36,759,Commercial,2835,5.89,1.36,1
247,58,Unemployed,47206,671,0,0.15,4911,12,4911,Commercial,1535,6.2,2.67,0
248,50,Part-time,40256,661,1,0.21,1218,12,1218,Commercial,3544,8.45,1.03,1
249,57,Unemployed,53822,411,0,0.42,3227,24,6454,Residential,1786,4.77,1.38,1
250,56,Part-time,61340,752,1,0.46,3401,12,6802,Commercial,1958,5.17,4.73,1
251,35,Unemployed,131883,468,0,0.37,960,24,960,Residential,2720,3.1,4.17,1
252,57,Freelancer,72234,438,0,0.14,3354,12,6708,Commercial,2130,9.32,3.69,1
253,18,Unemployed,63351,530,0,0.31,4567,12,4567,Commercial,4527,7.8,4.32,1
254,28,Unemployed,126311,538,0,0.33,2202,36,2202,Residential,3616,4.84,2.0,1
255,45,Full-time,68671,552,0,0.21,3747,12,3747,Commercial,3454,9.21,3.9,1
256,42,Freelancer,95320,735,1,0.5,3477,36,6954,Residential,763,3.61,3.46,1
257,40,Self-employed,122565,721,1,0.23,2314,36,2314,Commercial,4699,5.58,4.39,1
258,48,Full-time,145627,602,0,0.18,3980,12,3980,Commercial,720,6.95,2.13,0
259,47,Self-employed,55157,371,0,0.14,2241,6,4482,Commercial,833,6.54,4.05,1
260,59,Part-time,39937,562,1,0.25,4571,36,4571,Commercial,1824,7.58,4.41,1
261,52,Self-employed,74290,521,0,0.38,529,12,529,Commercial,3182,5.08,3.2,1
262,24,Unemployed,66707,376,0,0.19,3993,6,3993,Commercial,1460,8.3,2.66,1
263,33,Self-employed,31219,361,0,0.41,1481,12,1481,Residential,1980,5.84,4.79,1
264,43,Full-time,29399,770,0,0.15,730,12,1460,Commercial,935,3.88,1.68,0
265,19,Full-time,146733,456,0,0.28,3276,6,6552,Commercial,2941,8.18,1.15,1
266,18,Self-employed,118848,424,0,0.38,1751,12,1751,Residential,542,9.38,1.72,1
267,29,Full-time,47657,460,0,0.15,4994,36,9988,Residential,1465,5.55,3.73,1
268,22,Full-time,40047,840,0,0.34,4690,24,9380,Commercial,4606,7.13,4.16,0
269,54,Self-employed,120543,834,0,0.42,2463,24,4926,Commercial,715,7.81,3.87,1
270,49,Freelancer,96095,405,0,0.34,3666,12,7332,Residential,3735,8.82,2.68,1
271,26,Freelancer,105693,430,0,0.3,2278,24,4556,Commercial,4820,4.39,4.87,1
272,58,Part-time,120931,656,0,0.44,1647,24,3294,Commercial,3205,6.99,2.78,1
273,52,Full-time,92154,301,0,0.49,3347,24,6694,Commercial,1272,8.18,4.93,1
274,36,Self-employed,64891,532,0,0.17,4350,36,8700,Residential,2322,4.39,4.67,1
275,33,Full-time,26780,668,0,0.38,3491,36,3491,Commercial,4611,6.31,2.63,0
276,20,Unemployed,47050,550,0,0.13,3570,24,3570,Residential,3655,6.25,1.64,1
277,37,Full-time,93551,407,1,0.12,1120,6,1120,Commercial,3780,8.88,1.36,1
278,41,Full-time,88666,575,0,0.21,1463,6,1463,Residential,557,8.44,3.13,1
279,50,Freelancer,113619,479,0,0.49,3360,6,3360,Residential,4189,4.62,4.05,1
280,41,Self-employed,102016,592,0,0.32,2642,36,2642,Commercial,2343,4.63,1.7,1
281,28,Full-time,133135,474,0,0.21,2000,36,2000,Residential,960,8.06,2.27,1
282,25,Freelancer,73010,422,0,0.15,3689,36,3689,Residential,4160,8.18,3.52,1
283,53,Part-time,121012,526,0,0.47,1826,36,3652,Commercial,1468,4.25,2.84,1
284,55,Freelancer,58165,743,0,0.24,621,24,621,Residential,4315,5.88,3.42,0
285,57,Freelancer,31528,727,0,0.22,4813,36,4813,Residential,3239,8.78,3.71,0
286,37,Freelancer,140840,382,0,0.44,1576,24,3152,Residential,789,3.56,2.52,1
287,52,Full-time,69608,364,0,0.34,3697,6,7394,Residential,3785,5.62,4.14,1
288,42,Full-time,25914,580,0,0.17,1682,24,1682,Commercial,1620,7.51,3.81,1
289,52,Part-time,57136,690,0,0.27,1294,6,1294,Commercial,1232,8.4,3.75,0
290,42,Unemployed,31179,727,0,0.47,2124,36,2124,Commercial,4076,7.57,1.6,1
291,46,Unemployed,106008,406,0,0.46,4771,6,9542,Residential,4282,5.78,2.9,1
292,35,Unemployed,32076,847,0,0.13,791,6,791,Commercial,3291,9.94,3.31,0
293,63,Part-time,143911,561,0,0.21,990,24,1980,Residential,2538,3.29,1.91,1
294,35,Unemployed,44783,458,0,0.16,3308,6,3308,Commercial,4018,6.46,4.03,1
295,19,Unemployed,136625,564,0,0.31,3928,12,7856,Residential,4355,6.57,1.48,1
296,52,Freelancer,66716,767,0,0.4,1133,6,2266,Commercial,4558,4.68,1.6,0
297,33,Full-time,70298,501,0,0.22,3999,36,7998,Residential,4935,6.91,2.65,1
298,58,Full-time,74304,454,0,0.4,2672,6,2672,Residential,4017,4.54,1.54,1
299,53,Freelancer,99360,312,0,0.37,3886,12,3886,Residential,2656,6.1,1.05,1
300,50,Freelancer,89835,596,0,0.39,4407,24,8814,Residential,3377,6.02,2.65,1
